time,open,high,low,close,tick_volume,spread,real_volume
2020-07-03,107.493,107.562,107.422,107.456,14841,11,0
2020-07-05,107.425,107.591,107.425,107.578,1030,11,0
2020-07-06,107.578,107.768,107.253,107.357,22803,11,0
2020-07-07,107.357,107.785,107.241,107.567,25689,11,0
2020-07-08,107.568,107.706,107.188,107.28,22159,11,0
2020-07-09,107.28,107.392,107.093,107.232,31560,11,0
2020-07-10,107.232,107.258,106.634,106.896,23213,11,0
2020-07-12,106.874,106.916,106.833,106.91,1501,11,0
2020-07-13,106.91,107.313,106.782,107.267,26199,11,0
2020-07-14,107.266,107.428,107.114,107.24,26388,11,0
2020-07-15,107.24,107.304,106.662,106.896,26947,11,0
2020-07-16,106.896,107.396,106.829,107.276,28235,11,0
2020-07-17,107.276,107.357,106.909,107.015,20268,11,0
2020-07-19,107.087,107.088,106.973,107.086,1757,11,0
2020-07-20,107.086,107.536,107.031,107.192,29667,11,0
2020-07-21,107.192,107.361,106.677,106.82,28525,11,0
2020-07-22,106.82,107.283,106.707,107.169,31097,11,0
2020-07-23,107.17,107.224,106.706,106.843,26583,11,0
2020-07-24,106.843,106.843,105.677,106.095,40087,11,0
2020-07-26,106.01,106.062,105.836,105.993,3476,11,0
2020-07-27,105.993,106.046,105.112,105.259,45178,11,0
2020-07-28,105.259,105.681,104.951,105.104,46023,11,0
2020-07-29,105.104,105.237,104.768,105.019,50212,11,0
2020-07-30,105.019,105.289,104.648,104.675,50999,11,0
2020-07-31,104.675,106.049,104.183,105.826,69886,11,0
2020-08-02,105.747,105.897,105.66,105.866,4388,11,0
2020-08-03,105.865,106.468,105.576,106.029,64395,11,0
2020-08-04,106.029,106.189,105.614,105.624,40870,11,0
2020-08-05,105.624,105.867,105.316,105.557,47663,11,0
2020-08-06,105.557,105.692,105.296,105.576,47169,11,0
2020-08-07,105.576,106.049,105.477,105.9,42949,11,0
2020-08-09,105.81,105.924,105.768,105.852,2604,11,0
2020-08-10,105.852,106.196,105.704,105.985,29213,11,0
2020-08-11,105.985,106.678,105.926,106.521,45387,11,0
2020-08-12,106.521,107.009,106.453,106.826,45282,11,0
2020-08-13,106.826,107.044,106.56,106.986,40869,11,0
2020-08-14,106.986,107.032,106.431,106.554,29045,11,0
2020-08-16,106.576,106.621,106.515,106.552,1690,11,0
2020-08-17,106.552,106.649,105.925,106.002,33981,11,0
2020-08-18,106.002,106.003,105.2,105.228,40652,11,0
2020-08-19,105.229,106.158,105.098,106.081,51037,11,0
2020-08-20,106.08,106.211,105.65,105.673,48135,11,0
2020-08-21,105.672,106.066,105.436,105.74,40238,11,0
2020-08-23,105.732,105.902,105.693,105.872,2370,11,0
2020-08-24,105.872,106.003,105.684,105.994,30608,11,0
2020-08-25,105.995,106.573,105.868,106.391,37708,11,0
2020-08-26,106.392,106.551,105.785,105.868,38171,11,0
2020-08-27,105.867,106.695,105.599,106.648,59695,11,0
2020-08-28,106.65,106.941,105.197,105.298,66490,11,0
2020-08-30,105.367,105.775,105.321,105.534,3919,11,0
2020-08-31,105.532,106.09,105.288,105.993,46230,11,0
2020-09-01,105.993,106.156,105.587,105.893,53386,11,0
2020-09-02,105.891,106.3,105.854,106.205,41411,11,0
2020-09-03,106.205,106.544,105.998,106.085,43147,11,0
2020-09-04,106.084,106.5,106.052,106.185,38478,11,0
2020-09-06,106.196,106.314,106.173,106.31,1574,11,0
2020-09-07,106.31,106.379,106.128,106.3,20205,11,0
2020-09-08,106.3,106.377,105.787,105.968,39029,11,0
2020-09-09,105.967,106.275,105.787,106.23,32581,11,0
2020-09-10,106.231,106.297,105.979,106.143,28633,11,0
2020-09-11,106.142,106.259,106.02,106.097,18835,11,0
2020-09-13,106.085,106.223,106.037,106.145,1293,11,0
2020-09-14,106.145,106.16,105.542,105.723,22029,11,0
2020-09-15,105.723,105.81,105.289,105.396,24906,11,0
2020-09-16,105.396,105.407,104.795,105.058,38653,11,0
2020-09-17,105.057,105.172,104.512,104.692,33083,11,0
2020-09-18,104.69,104.865,104.269,104.515,24515,11,0
2020-09-20,104.473,104.536,104.395,104.528,1549,11,0
2020-09-21,104.53,104.893,103.996,104.687,33320,11,0
2020-09-22,104.687,105.072,104.401,105.052,27652,11,0
2020-09-23,105.053,105.491,104.924,105.305,29274,11,0
2020-09-24,105.306,105.525,105.201,105.434,28687,11,0
2020-09-25,105.432,105.695,105.236,105.524,21549,11,0
2020-09-27,105.466,105.63,105.466,105.578,1080,11,0
2020-09-28,105.577,105.66,105.259,105.44,23241,11,0
2020-09-29,105.439,105.728,105.338,105.672,24510,11,0
2020-09-30,105.672,105.799,105.373,105.447,30498,11,0
2020-10-01,105.447,105.723,105.413,105.545,25573,11,0
2020-10-02,105.545,105.661,104.939,105.248,32657,11,0
2020-10-04,105.248,105.588,105.228,105.511,2823,11,0
2020-10-05,105.513,105.789,105.49,105.704,20107,11,0
2020-10-06,105.705,105.74,105.467,105.638,23427,11,0
2020-10-07,105.637,106.102,105.624,105.965,21942,11,0
2020-10-08,105.965,106.102,105.92,106.023,18281,11,0
2020-10-09,106.022,106.023,105.552,105.564,19911,11,0
2020-10-11,105.718,105.759,105.593,105.619,1438,11,0
2020-10-12,105.619,105.653,105.227,105.334,17536,11,0
2020-10-13,105.334,105.622,105.278,105.463,20460,11,0
2020-10-14,105.464,105.51,105.031,105.136,19074,11,0
2020-10-15,105.135,105.487,105.114,105.352,20105,11,0
2020-10-16,105.354,105.436,105.186,105.335,18132,11,0
2020-10-18,105.365,105.464,105.298,105.426,1140,11,0
2020-10-19,105.426,105.498,105.297,105.455,17100,11,0
2020-10-20,105.454,105.742,105.406,105.473,18142,11,0
2020-10-21,105.473,105.485,104.336,104.677,24229,11,0
2020-10-22,104.675,104.932,104.472,104.9,20947,11,0
2020-10-23,104.902,104.911,104.542,104.655,17627,11,0
2020-10-25,104.663,104.749,104.609,104.687,1436,11,0
2020-10-26,104.688,105.05,104.651,104.827,19232,11,0
2020-10-27,104.827,104.833,104.355,104.542,16624,11,0
2020-10-28,104.542,104.548,104.109,104.313,24027,11,0
2020-10-29,104.311,104.722,104.02,104.553,24434,11,0
2020-10-30,104.553,104.737,104.12,104.595,25740,11,0
2020-11-01,104.52,104.666,104.515,104.556,1990,29,0
2020-11-02,104.576,104.944,104.576,104.703,19909,11,0
2020-11-03,104.719,104.795,104.42,104.525,27669,11,0
2020-11-04,104.541,105.339,104.146,104.419,70705,11,0
2020-11-05,104.435,104.468,103.42,103.58,50363,11,0
2020-11-06,103.602,103.754,103.173,103.307,45355,11,0
2020-11-08,103.311,103.319,103.144,103.236,2098,29,0
2020-11-09,103.249,105.641,103.236,105.106,60903,11,0
2020-11-10,105.133,105.482,104.816,105.243,43224,11,0
2020-11-11,105.257,105.671,105.001,105.377,28241,11,0
2020-11-12,105.41,105.473,105.032,105.078,27883,11,0
2020-11-13,105.094,105.145,104.532,104.565,24598,11,0
2020-11-15,104.658,104.684,104.56,104.642,1423,29,0
2020-11-16,104.672,105.13,104.358,104.511,32069,11,0
2020-11-17,104.528,104.562,104.066,104.155,25867,11,0
2020-11-18,104.171,104.171,103.648,103.874,28509,11,0
2020-11-19,103.89,104.211,103.685,103.778,29400,11,0
2020-11-20,103.805,103.905,103.697,103.796,19668,11,0
2020-11-22,103.761,103.839,103.751,103.798,1503,29,0
2020-11-23,103.814,104.632,103.679,104.51,27101,11,0
2020-11-24,104.525,104.757,104.142,104.491,31556,11,0
2020-11-25,104.505,104.593,104.252,104.383,26761,11,0
2020-11-26,104.398,104.4,104.185,104.235,18002,11,0
2020-11-27,104.251,104.266,103.903,103.994,20545,11,0
2020-11-29,103.997,104.114,103.97,104.046,1455,69,0
2020-11-30,104.079,104.394,103.824,104.285,28993,11,0
